v8-version,8,4,371,23,-node.85,0
code-creation,Builtin,3,1936,0x133c400,392,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,1940,0x133c5a0,392,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,1944,0x133c740,6044,StoreFastElementIC_Standard
code-creation,Builtin,3,1947,0x133dee0,11572,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,1951,0x1340c20,6044,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,1954,0x13423c0,6020,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,1957,0x1343b60,9544,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,1961,0x13460c0,24104,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,1964,0x134bf00,9544,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,1968,0x134e460,12948,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,1971,0x1351700,744,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,1974,0x1351a00,220,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,1977,0x1351ae0,76,HasIndexedInterceptorIC
code-creation,Builtin,3,1980,0x1351b40,172,EnqueueMicrotask
code-creation,Builtin,3,1982,0x1351c00,8,RunMicrotasksTrampoline
code-creation,Builtin,3,1985,0x1351c20,3988,RunMicrotasks
code-creation,Builtin,3,1988,0x1352bc0,2402,HasProperty
code-creation,Builtin,3,1990,0x1353540,1064,DeleteProperty
code-creation,Builtin,3,1993,0x1353980,1963,CopyDataProperties
code-creation,Builtin,3,1995,0x1354140,8302,SetDataProperties
code-creation,Builtin,3,1998,0x13561c0,40,Abort
code-creation,Builtin,3,2000,0x1356200,40,AbortCSAAssert
code-creation,Builtin,3,2002,0x1356240,8,EmptyFunction
code-creation,Builtin,3,2004,0x1356260,8,Illegal
code-creation,Builtin,3,2006,0x1356280,8,StrictPoisonPillThrower
code-creation,Builtin,3,2009,0x13562a0,8,UnsupportedThrower
code-creation,Builtin,3,2012,0x13562c0,93,ReturnReceiver
code-creation,Builtin,3,2014,0x1356320,44,ArrayConstructor
code-creation,Builtin,3,2017,0x1356360,485,ArrayConstructorImpl
code-creation,Builtin,3,2019,0x1356560,237,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,2023,0x1356660,237,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,2027,0x1356760,197,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,2031,0x1356840,197,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,2035,0x1356920,197,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,2039,0x1356a00,197,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,2043,0x1356ae0,201,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,2048,0x1356bc0,201,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,2052,0x1356ca0,501,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,2056,0x1356ea0,481,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,2060,0x13570a0,421,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,2065,0x1357260,405,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,2070,0x1357400,421,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,2074,0x13575c0,405,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,2078,0x1357760,425,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,2082,0x1357920,409,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,2087,0x1357ac0,80,ArrayNArgumentsConstructor
code-creation,Builtin,3,2090,0x1357b20,8,ArrayConcat
code-creation,Builtin,3,2092,0x1357b40,8,ArrayPrototypeFill
code-creation,Builtin,3,2094,0x1357b60,1050,ArrayIncludesSmiOrObject
code-creation,Builtin,3,2097,0x1357f80,180,ArrayIncludesPackedDoubles
code-creation,Builtin,3,2100,0x1358040,260,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,2103,0x1358160,637,ArrayIncludes
code-creation,Builtin,3,2105,0x13583e0,950,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,2108,0x13587a0,136,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,2110,0x1358840,136,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,2113,0x13588e0,637,ArrayIndexOf
code-creation,Builtin,3,2115,0x1358b60,8,ArrayPop
code-creation,Builtin,3,2117,0x1358b80,722,ArrayPrototypePop
code-creation,Builtin,3,2120,0x1358e60,8,ArrayPush
code-creation,Builtin,3,2122,0x1358e80,2750,ArrayPrototypePush
code-creation,Builtin,3,2124,0x1359940,8,ArrayShift
code-creation,Builtin,3,2126,0x1359960,8,ArrayUnshift
code-creation,Builtin,3,2129,0x1359980,1022,CloneFastJSArray
code-creation,Builtin,3,2131,0x1359d80,2330,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,2134,0x135a6a0,1042,ExtractFastJSArray
code-creation,Builtin,3,2137,0x135aac0,299,ArrayPrototypeEntries
code-creation,Builtin,3,2139,0x135ac00,295,ArrayPrototypeKeys
code-creation,Builtin,3,2142,0x135ad40,299,ArrayPrototypeValues
code-creation,Builtin,3,2144,0x135ae80,4068,ArrayIteratorPrototypeNext
code-creation,Builtin,3,2147,0x135be80,3828,FlattenIntoArray
code-creation,Builtin,3,2150,0x135cd80,3820,FlatMapIntoArray
code-creation,Builtin,3,2152,0x135dc80,568,ArrayPrototypeFlat
code-creation,Builtin,3,2155,0x135dec0,624,ArrayPrototypeFlatMap
code-creation,Builtin,3,2157,0x135e140,8,ArrayBufferConstructor
code-creation,Builtin,3,2160,0x135e160,8,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,2163,0x135e180,8,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,2166,0x135e1a0,8,ArrayBufferIsView
code-creation,Builtin,3,2169,0x135e1c0,8,ArrayBufferPrototypeSlice
